店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P11785,140.960025,38.2520721,パラディソ仙台東インター店,宮城県仙台市宮城野区岡田字八間谷地9-3,12076,パラディソ仙台東インター店,宮城県,パラディソ仙台東インター店
P02215,141.295907,38.440892,21SEIKI石巻中里,宮城県石巻市中里4-1-8,2215,21SEIKI石巻中里,宮城県,21SEIKI石巻中里
P01345,141.546098,42.623203,コアシティ,北海道苫小牧市しらかば町1-6-8,1345,コアシティ,北海道,コアシティ
P06454,136.823695,35.3861858,グランワールドカップ各務原店,岐阜県各務原市成清町1-1-3,6454,グランワールドカップ各務原店,岐阜県,グランワールドカップ各務原店
P04182,139.952821,35.8821322,やすだ柏店,千葉県柏市十余二240-1,4182,やすだ柏店,千葉県,やすだ柏店
P05536,138.124249,36.0198875,チャンピオン諏訪店,長野県諏訪市四賀1755-1,5536,チャンピオン諏訪店,長野県,チャンピオン諏訪店
P02212,141.327833,38.4206548,アムズガーデン石巻湊店,宮城県石巻市湊字根上り松1-1,2212,アムズガーデン石巻湊店,宮城県,アムズガーデン石巻湊店
P01702,140.460253,40.798687,マルハン五所川原店,青森県五所川原市大字唐笠柳字藤巻６７５番地、６７４番地,1702,マルハン五所川原店,青森県,マルハン五所川原店
P06459,136.859334,35.398523,ZENT各務原店,岐阜県各務原市那加桐野外二ケ所大字入会地字中野8-44,6459,ZENT各務原店,岐阜県,ZENT各務原店
P04189,139.954045,35.8454377,南柏UNO,千葉県柏市南柏1-6-1,4189,南柏UNO,千葉県,南柏UNO
P06432,137.248537,35.349008,ダイナム岐阜瑞浪店,岐阜県瑞浪市山田町660番地1,6432,ダイナム岐阜瑞浪店,岐阜県,ダイナム岐阜瑞浪店
P00161,139.836339,35.690171,シップ大島,東京都江東区大島6-10-15,161,シップ大島,東京都,シップ大島
P04136,140.230247,35.724525,ウエスタン佐倉店,千葉県佐倉市栄町15-4,4136,ウエスタン佐倉店,千葉県,ウエスタン佐倉店
P08454,134.86143,34.7494024,ミクちゃんガイア東加古川店,兵庫県加古川市平岡町新在家716-10-3,8454,ミクちゃんガイア東加古川店,兵庫県,ミクちゃんガイア東加古川店
P06724,136.659752,35.0087293,ラッキープラザ四日市北店,三重県四日市市富州原町2-88,6724,ラッキープラザ四日市北店,三重県,ラッキープラザ四日市北店
P00977,139.519223,35.7714975,清瀬UNO,東京都清瀬市松山1-1-4　清瀬駅前ビル,977,清瀬UNO,東京都,清瀬UNO
P08445,134.850689,34.729928,モナコ別府,兵庫県加古川市別府町朝日町9,8445,モナコ別府,兵庫県,モナコ別府
P04227,139.905233,35.8395675,やすだ南流山店,千葉県流山市南流山1-9-17,4227,やすだ南流山店,千葉県,やすだ南流山店
